Codage,Stopwords,Stemming,Lowercase,N-Grams,SVM
Binary,True,True,True,1,0.833

Binary,True,True,True,1-2,0.857

Binary,True,True,True,2,0.7945

Binary,True,True,False,1,0.833

Binary,True,True,False,1-2,0.857

Binary,True,True,False,2,0.7945

Binary,True,False,True,1,0.8445

Binary,True,False,True,1-2,0.865

Binary,True,False,True,2,0.7795

Binary,True,False,False,1,0.8445

Binary,True,False,False,1-2,0.865

Binary,True,False,False,2,0.7795

Binary,False,True,True,1,0.8404999999999999

Binary,False,True,True,1-2,0.8640000000000001

Binary,False,True,True,2,0.8280000000000001

Binary,False,True,False,1,0.8404999999999999

Binary,False,True,False,1-2,0.8640000000000001

Binary,False,True,False,2,0.8280000000000001

Binary,False,False,True,1,0.8540000000000001

Binary,False,False,True,1-2,0.8714999999999999

Binary,False,False,True,2,0.828

Binary,False,False,False,1,0.8540000000000001

Binary,False,False,False,1-2,0.8714999999999999

Binary,False,False,False,2,0.828
