Codage,Stopwords,Stemming,Lowercase,N-Grams,NB (CV 5-fold)

TFIDF,True,True,True,1,0.8130000000000001

TFIDF,True,True,True,1-2,0.8240000000000001

TFIDF,True,True,True,2-2,0.805

TFIDF,True,True,False,1,0.8130000000000001

TFIDF,True,True,False,1-2,0.8240000000000001

TFIDF,True,True,False,2-2,0.805

TFIDF,True,False,True,1,0.8194999999999999

TFIDF,True,False,True,1-2,0.829

TFIDF,True,False,True,2-2,0.7929999999999999

TFIDF,True,False,False,1,0.8194999999999999

TFIDF,True,False,False,1-2,0.829

TFIDF,True,False,False,2-2,0.7929999999999999

TFIDF,False,True,True,1,0.8030000000000002

TFIDF,False,True,True,1-2,0.8355

TFIDF,False,True,True,2-2,0.8305

TFIDF,False,True,False,1,0.8030000000000002

TFIDF,False,True,False,1-2,0.8355

TFIDF,False,True,False,2-2,0.8305

TFIDF,False,False,True,1,0.8084999999999999

TFIDF,False,False,True,1-2,0.8345

TFIDF,False,False,True,2-2,0.829

TFIDF,False,False,False,1,0.8084999999999999

TFIDF,False,False,False,1-2,0.8345

TFIDF,False,False,False,2-2,0.829
